provinsi,tahun,jumlah_pengumpulan,jumlah_penyaluran,ipm,persenmiskin,tpt,jumlahislam,pdrb
ACEH,2020,276469370484,259189780755,71.99,15.43,6.59,5234657.0,166372320.7
ACEH,2021,296689710225,272899792925,72.18,15.53,6.3,5271485.0,184979878.6
ACEH,2022,0,0,72.8,14.75,6.17,5356635.0,210418358.9
ACEH,2023,624204471909,624204471909,73.4,14.45,6.03,5356635.0,227110203.7
BALI,2020,7539538222,5652949701,75.5,4.45,5.63,430954.0,224225721.3
BALI,2021,9576197141,8748161403,75.69,4.72,5.37,430924.0,220466429.8
BALI,2022,7375877000,7375877000,76.44,4.53,4.8,434941.0,245362879.3
BALI,2023,20851799035,20851799035,77.1,4.25,2.69,434941.0,274355724.4
BANTEN,2020,217649090345,218480139853,72.45,6.63,10.64,11033998.0,625895383.6
BANTEN,2021,264264625161,237235560094,72.72,6.5,8.98,11410170.0,665870304.8
BANTEN,2022,451738448413,451738448413,73.32,6.24,8.09,11686756.0,747223579.7
BANTEN,2023,1229307164725,1229307164725,73.87,6.17,7.52,11686756.0,814124341.2
BENGKULU,2020,18341828697,16178244976,71.4,15.3,4.07,1976210.0,73305267.04
BENGKULU,2021,18738253434,18053450925,71.64,14.43,3.65,1989720.0,79602643.99
BENGKULU,2022,180117704483,180117704483,72.16,14.34,3.59,2017860.0,90111947.04
BENGKULU,2023,137652009869,137652009869,72.78,14.04,3.42,2017860.0,96551379.03
DI YOGYAKARTA,2020,38104562666,51178089675,79.97,12.8,4.57,3408041.0,138117838.2
DI YOGYAKARTA,2021,49783635559,65462977688,80.22,11.91,4.56,3415882.0,149413649.9
DI YOGYAKARTA,2022,2498109588195,2498109588195,80.64,11.49,4.06,3433129.0,165718436.6
DI YOGYAKARTA,2023,687807323320,687807323320,81.07,11.04,3.69,3433129.0,180689952.9
DKI JAKARTA,2020,2644722249632,2406706592131,80.77,4.69,10.95,9376385.0,2767273489.0
DKI JAKARTA,2021,2971244351062,2747230870630,81.11,4.67,8.5,9442139.0,2912885342.0
DKI JAKARTA,2022,4877401155674,4877401155674,81.65,4.61,7.18,9491619.0,3188539023.0
DKI JAKARTA,2023,4791702562459,4791702562459,82.46,4.44,6.53,9491619.0,3442980931.0
GORONTALO,2020,28188210490,34174520810,68.68,15.59,4.28,1170793.0,41729887.61
GORONTALO,2021,30771056576,36017725798,69.0,15.41,3.01,1176947.0,43893261.82
GORONTALO,2022,20000000,20000000,69.81,15.51,2.58,1191484.0,47569653.11
GORONTALO,2023,69015282380,69015282380,70.45,15.15,3.06,1191484.0,51374400.75
JAMBI,2020,47258003091,43560736637,71.29,7.97,5.13,3359043.0,205081992.4
JAMBI,2021,51031590992,72985370858,71.63,7.67,5.09,3425742.0,232294154.9
JAMBI,2022,55033305573,55033305573,72.14,7.7,4.59,3514415.0,276719437.8
JAMBI,2023,257492019079,257492019079,72.77,7.58,4.53,3514415.0,293729311.4
JAWA BARAT,2020,1350741170679,1461786785707,72.09,8.43,10.46,45858792.0,2082107257.0
JAWA BARAT,2021,1454822784551,1502497291524,72.45,7.97,9.82,46923543.0,2204660233.0
JAWA BARAT,2022,3369828095134,3369828095134,73.12,7.98,8.31,48029215.0,2422782321.0
JAWA BARAT,2023,5728399110421,5728399110421,73.74,7.62,7.44,48029215.0,2625218584.0
JAWA TENGAH,2020,310883679382,265972928955,71.87,11.84,6.48,36074701.0,1347222485.0
JAWA TENGAH,2021,325669886240,311674519781,72.16,11.25,5.95,36296971.0,1419735153.0
JAWA TENGAH,2022,2017294642492,2017294642492,72.79,10.98,5.57,36773442.0,1559571099.0
JAWA TENGAH,2023,2826140467261,2826140467261,73.39,10.77,5.13,36773442.0,1696795419.0
JAWA TIMUR,2020,565715745282,645022215398,71.71,11.46,5.84,39893348.0,2299807636.0
JAWA TIMUR,2021,579368652339,616281417970,72.14,10.59,5.74,39925335.0,2454791996.0
JAWA TIMUR,2022,174165517105,174165517105,72.75,10.49,5.49,40179566.0,2731358776.0
JAWA TIMUR,2023,1016710104145,1016710104145,73.38,10.35,4.88,40179566.0,2953546905.0
KALIMANTAN BARAT,2020,27816891341,25568096700,67.66,7.24,5.81,3287346.0,213950353.7
KALIMANTAN BARAT,2021,29824030817,24608189089,67.9,6.84,5.82,3290832.0,231321163.3
KALIMANTAN BARAT,2022,145336389337,145336389337,68.63,6.81,5.11,3320719.0,255797279.0
KALIMANTAN BARAT,2023,189707226546,189707226546,69.41,6.71,5.05,3320719.0,274468581.2
KALIMANTAN SELATAN,2020,41788644623,39855055731,70.91,4.83,4.74,3966059.0,179162024.6
KALIMANTAN SELATAN,2021,42789878330,48030348057,71.28,4.56,4.95,3996958.0,197882424.1
KALIMANTAN SELATAN,2022,66642804922,66642804922,71.84,4.61,4.74,4054044.0,251229499.2
KALIMANTAN SELATAN,2023,131291211224,131291211224,72.5,4.29,4.31,4054044.0,269296448.8
KALIMANTAN TENGAH,2020,4771809439,3027624246,71.05,5.26,4.58,1951786.0,152187394.3
KALIMANTAN TENGAH,2021,5057539124,4426420837,71.25,5.16,4.53,1970660.0,169655943.9
KALIMANTAN TENGAH,2022,11675005174,11675005174,71.63,5.22,4.26,2011763.0,199783367.9
KALIMANTAN TENGAH,2023,23028041352,23028041352,72.2,5.11,4.1,2011763.0,208846412.5
KALIMANTAN TIMUR,2020,50053408835,53319093171,76.24,6.64,6.87,3294080.0,607744486.3
KALIMANTAN TIMUR,2021,58954945511,62819704361,76.88,6.27,6.83,3365718.0,696632667.8
KALIMANTAN TIMUR,2022,31653650218,31653650218,77.44,6.44,5.71,3446652.0,921450986.1
KALIMANTAN TIMUR,2023,58393417451,58393417451,78.2,6.11,5.31,3446652.0,843571252.1
KALIMANTAN UTARA,2020,22110877983,21588894031,70.63,7.41,4.97,499236.0,100423209.6
KALIMANTAN UTARA,2021,20681077473,21677119101,71.19,6.83,4.58,511874.0,111530221.6
KALIMANTAN UTARA,2022,833403080,833403080,71.83,6.86,4.33,533675.0,138674956.6
KALIMANTAN UTARA,2023,44549619138,44549619138,72.49,6.45,4.01,533675.0,147278623.3
KEP. BANGKA BELITUNG,2020,26392713651,20874996097,71.47,4.89,5.25,1290176.0,75519774.07
KEP. BANGKA BELITUNG,2021,28115264530,21680850038,71.69,4.67,5.03,1316560.0,85961290.42
KEP. BANGKA BELITUNG,2022,70308437595,70308437595,72.24,4.61,4.77,1344903.0,95295600.97
KEP. BANGKA BELITUNG,2023,127836657209,127836657209,72.85,4.52,4.56,1344903.0,102635653.6
KEPULAUAN RIAU,2020,44738543491,53201059530,75.59,6.13,10.34,1591080.0,254095346.3
KEPULAUAN RIAU,2021,50103864689,53450249661,75.79,5.75,9.91,1631245.0,275622850.6
KEPULAUAN RIAU,2022,48899480809,48899480809,76.46,6.03,8.23,1671242.0,308842677.5
KEPULAUAN RIAU,2023,97136552485,97136552485,77.11,5.69,6.8,1671242.0,331889500.8
LAMPUNG,2020,15060911325,15371091056,69.69,12.76,4.67,8720897.0,353025088.1
LAMPUNG,2021,19214339295,22641957728,69.9,11.67,4.69,8531111.0,371198876.2
LAMPUNG,2022,80820349600,80820349600,70.45,11.44,4.52,8598009.0,414131422.9
LAMPUNG,2023,239038093942,239038093942,71.15,11.11,4.23,8598009.0,448880246.7
MALUKU,2020,4280641384,3159985000,69.49,17.99,7.57,988405.0,46263466.0
MALUKU,2021,7017336041,5944954064,69.71,16.3,6.93,991664.0,48893675.04
MALUKU,2022,271559000,271559000,70.22,16.23,6.88,997724.0,54057973.5
MALUKU,2023,23583734725,23583734725,70.94,16.42,6.31,997724.0,58489794.44
MALUKU UTARA,2020,1582181754,875863923,68.49,6.97,5.15,972337.0,42298869.01
MALUKU UTARA,2021,7734647810,7735976151,68.76,6.38,4.71,986743.0,52480522.4
MALUKU UTARA,2022,19534000000,19534000000,69.47,6.37,3.98,1005727.0,70902611.67
MALUKU UTARA,2023,4665847013,4665847013,70.21,6.46,4.31,1005727.0,85145356.85
NUSA TENGGARA BARAT,2020,112867540537,121824781060,68.25,14.23,4.22,5199746.0,133613744.2
NUSA TENGGARA BARAT,2021,127688297354,135021625969,68.65,13.83,3.01,5260683.0,140115271.5
NUSA TENGGARA BARAT,2022,83247579815,83247579815,69.46,13.82,2.89,5361920.0,156942672.2
NUSA TENGGARA BARAT,2023,69433506915,69433506915,70.2,13.85,2.8,5361920.0,166394908.3
NUSA TENGGARA TIMUR,2020,506870731,519786638,65.19,21.21,4.28,516274.0,106482448.6
NUSA TENGGARA TIMUR,2021,593806794,558957840,65.28,20.44,3.77,518916.0,110881411.6
NUSA TENGGARA TIMUR,2022,147402000,147402000,65.9,20.23,3.54,523523.0,118718197.3
